Illness Name,Category
"Pneumonia, Paraphilic Disorder","0, 1"
"Pneumonia, Paralysis","0, 3"
"Pneumonia, Thalassemia","0, 2"
"Pneumonia, Torticollis","0, 3"
"Pneumonia, Cerebral Palsy","0, 3"
"Pneumonia, Listeriosis","0, 0"
"Pneumonia, Paranoia","0, 1"
"Pneumonia, E. coli Infection","0, 0"
"Pneumonia, COPD","0, 2"
"Pneumonia, Lupus","0, 2"
"Pneumonia, Typhoid Fever","0, 0"
"Pneumonia, Whooping Cough","0, 0"
"Pneumonia, Hand Deformity","0, 3"
"Pneumonia, Chronic Urticaria","0, 2"
"Pneumonia, Food Poisoning","0, 0"
"Pneumonia, Psychosis","0, 1"
"Pneumonia, Myasthenia Gravis","0, 2"
"Pneumonia, Peripheral Artery Disease","0, 2"
"Pneumonia, Dengue Fever","0, 0"
"Pneumonia, Coxa Vara","0, 3"
"Pneumonia, Hepatitis C","0, 0"
"Pneumonia, Asthma","0, 2"
"Pneumonia, COVID-19","0, 0"
"Pneumonia, Rheumatic Heart Disease","0, 2"
"Pneumonia, Histrionic Personality Disorder","0, 1"
"Pneumonia, Hepatitis B","0, 0"
"Pneumonia, Thyroid Disease","0, 2"
"Pneumonia, Hemiplegia","0, 3"
"Pneumonia, Chronic Appendicitis","0, 2"
"Pneumonia, Clubfoot","0, 3"
"Pneumonia, Speech Impairment","0, 3"
"Pneumonia, Fibromyalgia","0, 2"
"Pneumonia, Ulcerative Colitis","0, 2"
"Pneumonia, Osteogenesis Imperfecta","0, 3"
"Pneumonia, Muscle Weakness","0, 3"
"Pneumonia, Toxoplasmosis","0, 0"
"Pneumonia, Psoriasis","0, 2"
"Pneumonia, Narcissistic Personality Disorder","0, 1"
"Pneumonia, Phobias","0, 1"
"Pneumonia, Chronic Pancreatitis","0, 2"
"Pneumonia, Chronic Migraine","0, 2"
"Pneumonia, Cystic Fibrosis","0, 2"
"Pneumonia, Seasonal Affective Disorder","0, 1"
"Pneumonia, Frozen Shoulder","0, 3"
"Pneumonia, Bipolar Disorder","0, 1"
"Pneumonia, Chronic Fatigue Syndrome","0, 2"
"Pneumonia, Quadriplegia","0, 3"
"Pneumonia, Mania","0, 1"
"Pneumonia, Monoplegia","0, 3"
"Pneumonia, Mumps","0, 0"
"Pneumonia, Ear Infection","0, 0"
"Pneumonia, Diabetes","0, 2"
"Pneumonia, Multiple Sclerosis","0, 3"
"Pneumonia, Impulse Control Disorder","0, 1"
"Pneumonia, Autism Spectrum Disorder","0, 1"
"Pneumonia, Hyperactivity Disorder","0, 1"
"Pneumonia, Sarcoidosis","0, 2"
"Pneumonia, Drop Foot","0, 3"
"Pneumonia, Scarlet Fever","0, 0"
"Pneumonia, Tuberculosis","0, 0"
"Pneumonia, Schizoaffective Disorder","0, 1"
"Pneumonia, Common Cold","0, 0"
"Pneumonia, Celiac Disease","0, 2"
"Pneumonia, Bronchitis","0, 0"
"Pneumonia, Emotional Dysregulation","0, 1"
"Pneumonia, Chronic Bronchitis","0, 2"
"Pneumonia, Postural Deformity","0, 3"
"Pneumonia, Eating Disorder","0, 1"
"Rubella, Erotomania","0, 1"
"Rubella, Leg Length Discrepancy","0, 3"
"Rubella, Ataxia","0, 3"
"Rubella, Aplastic Anemia","0, 2"
"Rubella, Kyphosis","0, 3"
"Rubella, Spinal Cord Injury","0, 3"
"Rubella, Depression","0, 1"
"Rubella, Orthopedic Impairment","0, 3"
"Rubella, Malaria","0, 0"
"Rubella, Hemophilia","0, 2"
"Rubella, Neurocognitive Disorder","0, 1"
"Rubella, Cirrhosis","0, 2"
"Rubella, Kleptomania","0, 1"
"Rubella, Graves’ Disease","0, 2"
"Rubella, Balance Disorder","0, 3"
"Rubella, Social Anxiety Disorder","0, 1"
"Rubella, Autoimmune Hepatitis","0, 2"
"Rubella, Tic Disorders","0, 1"
"Rubella, Panic Disorder","0, 1"
"Rubella, Adjustment Disorder","0, 1"
"Rubella, Hallucination Disorder","0, 1"
"Rubella, Rabies","0, 0"
"Rubella, Crohn’s Disease","0, 2"
"Rubella, Parkinson’s Disease","0, 2"
"Rubella, Anthrax","0, 0"
"Rubella, RSV","0, 0"
"Rubella, Bulimia","0, 1"
"Rubella, Chronic Sinusitis","0, 2"
"Rubella, Norovirus","0, 0"
"Rubella, Spina Bifida","0, 3"
"Rubella, Paget's Disease","0, 2"
"Rubella, Barrett’s Esophagus","0, 2"
"Rubella, Heart Disease","0, 2"
"Rubella, Limb Girdle Disorder","0, 3"
"Rubella, Dissociative Identity Disorder","0, 1"
"Rubella, Yellow Fever","0, 0"
"Rubella, Sinus Infection","0, 0"
"Rubella, Influenza","0, 0"
"Rubella, Hepatitis A","0, 0"
"Rubella, Sickle Cell Disease","0, 2"
"Rubella, Visual Impairment","0, 3"
"Rubella, Hypertension","0, 2"
"Rubella, Endometriosis","0, 2"
"Rubella, Bacterial Meningitis","0, 0"
"Rubella, Catatonia","0, 1"
"Rubella, Muscular Dystrophy","0, 3"
"Rubella, Dwarfism","0, 3"
"Rubella, Pathological Gambling","0, 1"
"Rubella, Traumatic Brain Injury","0, 3"
"Rubella, Somatic Symptom Disorder","0, 1"
"Rubella, Anorexia","0, 1"
"Rubella, Polycystic Kidney Disease","0, 2"
"Rubella, Hip Dysplasia","0, 3"
"Rubella, Campylobacteriosis","0, 0"
"Rubella, Schizophrenia","0, 1"
"Rubella, Selective Mutism","0, 1"
"Rubella, Microcephaly","0, 3"
"Rubella, Psychotic Depression","0, 1"
"Rubella, Giardiasis","0, 0"
"Rubella, Mobility Impairment","0, 3"
"Rubella, Tetanus","0, 0"
"Rubella, Leptospirosis","0, 0"
"Rubella, Substance Use Disorder","0, 1"
"Rubella, Mood Disorder","0, 1"
"Rubella, Spastic Diplegia","0, 3"
"Rubella, Amyloidosis","0, 2"
"Rubella, Paratyphoid Fever","0, 0"
"Rubella, OCD","0, 1"
"Rubella, Scoliosis","0, 3"
"Rubella, Arthrogryposis","0, 3"
"Rubella, Arthritis","0, 2"
"Rubella, Claw Hand","0, 3"
"Rubella, Sleep Disorder","0, 1"
"Rubella, Polio","0, 3"
"Rubella, Measles","0, 0"
"Rubella, Hearing Loss","0, 3"
"Rubella, Borderline Personality Disorder","0, 1"
"Rubella, Short Stature","0, 3"
"Rubella, Delirium","0, 1"
"Rubella, Chikungunya","0, 0"
"Rubella, PTSD","0, 1"
"Rubella, Botulism","0, 0"
"Rubella, Chickenpox","0, 0"
"Rubella, Blindness","0, 3"
"Rubella, Anxiety","0, 1"
"Rubella, Strep Throat","0, 0"
"Rubella, Trichotillomania","0, 1"
"Rubella, ADHD","0, 1"
"Rubella, Amputation","0, 3"
"Rubella, Gout","0, 2"
"Rubella, Zika Virus","0, 0"
"Rubella, Chronic Kidney Disease","0, 2"
"Rubella, Paraphilic Disorder","0, 1"
"Rubella, Paralysis","0, 3"
"Rubella, Thalassemia","0, 2"
"Rubella, Torticollis","0, 3"
"Rubella, Cerebral Palsy","0, 3"
"Rubella, Listeriosis","0, 0"
"Rubella, Paranoia","0, 1"
"Rubella, E. coli Infection","0, 0"
"Rubella, COPD","0, 2"
"Rubella, Lupus","0, 2"
"Rubella, Typhoid Fever","0, 0"
"Rubella, Whooping Cough","0, 0"
"Rubella, Hand Deformity","0, 3"
"Rubella, Chronic Urticaria","0, 2"
"Rubella, Food Poisoning","0, 0"
"Rubella, Psychosis","0, 1"
"Rubella, Myasthenia Gravis","0, 2"
"Rubella, Peripheral Artery Disease","0, 2"
"Rubella, Dengue Fever","0, 0"
"Rubella, Coxa Vara","0, 3"
"Rubella, Hepatitis C","0, 0"
"Rubella, Asthma","0, 2"
"Rubella, COVID-19","0, 0"
"Rubella, Rheumatic Heart Disease","0, 2"
"Rubella, Histrionic Personality Disorder","0, 1"
"Rubella, Hepatitis B","0, 0"
"Rubella, Thyroid Disease","0, 2"
"Rubella, Hemiplegia","0, 3"
"Rubella, Chronic Appendicitis","0, 2"
"Rubella, Clubfoot","0, 3"
"Rubella, Speech Impairment","0, 3"
"Rubella, Fibromyalgia","0, 2"
"Rubella, Ulcerative Colitis","0, 2"
"Rubella, Osteogenesis Imperfecta","0, 3"
"Rubella, Muscle Weakness","0, 3"
"Rubella, Toxoplasmosis","0, 0"
"Rubella, Psoriasis","0, 2"
"Rubella, Narcissistic Personality Disorder","0, 1"
"Rubella, Phobias","0, 1"
"Rubella, Chronic Pancreatitis","0, 2"
"Rubella, Chronic Migraine","0, 2"
"Rubella, Cystic Fibrosis","0, 2"
"Rubella, Seasonal Affective Disorder","0, 1"
"Rubella, Frozen Shoulder","0, 3"
"Rubella, Bipolar Disorder","0, 1"
"Rubella, Chronic Fatigue Syndrome","0, 2"
"Rubella, Quadriplegia","0, 3"
"Rubella, Mania","0, 1"
"Rubella, Monoplegia","0, 3"
"Rubella, Mumps","0, 0"
"Rubella, Ear Infection","0, 0"
"Rubella, Diabetes","0, 2"
"Rubella, Multiple Sclerosis","0, 3"
"Rubella, Impulse Control Disorder","0, 1"
"Rubella, Autism Spectrum Disorder","0, 1"
"Rubella, Hyperactivity Disorder","0, 1"
"Rubella, Sarcoidosis","0, 2"
"Rubella, Drop Foot","0, 3"
"Rubella, Scarlet Fever","0, 0"
"Rubella, Tuberculosis","0, 0"
"Rubella, Schizoaffective Disorder","0, 1"
"Rubella, Common Cold","0, 0"
"Rubella, Celiac Disease","0, 2"
"Rubella, Bronchitis","0, 0"
"Rubella, Emotional Dysregulation","0, 1"
"Rubella, Chronic Bronchitis","0, 2"
"Rubella, Postural Deformity","0, 3"
"Rubella, Eating Disorder","0, 1"
"Erotomania, Leg Length Discrepancy","1, 3"
"Erotomania, Ataxia","1, 3"
"Erotomania, Aplastic Anemia","1, 2"
"Erotomania, Kyphosis","1, 3"
"Erotomania, Spinal Cord Injury","1, 3"
"Erotomania, Depression","1, 1"
"Erotomania, Orthopedic Impairment","1, 3"
"Erotomania, Malaria","1, 0"
"Erotomania, Hemophilia","1, 2"
"Erotomania, Neurocognitive Disorder","1, 1"
"Erotomania, Cirrhosis","1, 2"
"Erotomania, Kleptomania","1, 1"
"Erotomania, Graves’ Disease","1, 2"
"Erotomania, Balance Disorder","1, 3"
"Erotomania, Social Anxiety Disorder","1, 1"
"Erotomania, Autoimmune Hepatitis","1, 2"
"Erotomania, Tic Disorders","1, 1"
"Erotomania, Panic Disorder","1, 1"
"Erotomania, Adjustment Disorder","1, 1"
"Erotomania, Hallucination Disorder","1, 1"
"Erotomania, Rabies","1, 0"
"Erotomania, Crohn’s Disease","1, 2"
"Erotomania, Parkinson’s Disease","1, 2"
"Erotomania, Anthrax","1, 0"
"Erotomania, RSV","1, 0"
"Erotomania, Bulimia","1, 1"
"Erotomania, Chronic Sinusitis","1, 2"
"Erotomania, Norovirus","1, 0"
"Erotomania, Spina Bifida","1, 3"
"Erotomania, Paget's Disease","1, 2"
"Erotomania, Barrett’s Esophagus","1, 2"
"Erotomania, Heart Disease","1, 2"
"Erotomania, Limb Girdle Disorder","1, 3"
"Erotomania, Dissociative Identity Disorder","1, 1"
"Erotomania, Yellow Fever","1, 0"
"Erotomania, Sinus Infection","1, 0"
"Erotomania, Influenza","1, 0"
"Erotomania, Hepatitis A","1, 0"
"Erotomania, Sickle Cell Disease","1, 2"
"Erotomania, Visual Impairment","1, 3"
"Erotomania, Hypertension","1, 2"
"Erotomania, Endometriosis","1, 2"
"Erotomania, Bacterial Meningitis","1, 0"
"Erotomania, Catatonia","1, 1"
"Erotomania, Muscular Dystrophy","1, 3"
"Erotomania, Dwarfism","1, 3"
"Erotomania, Pathological Gambling","1, 1"
"Erotomania, Traumatic Brain Injury","1, 3"
"Erotomania, Somatic Symptom Disorder","1, 1"
"Erotomania, Anorexia","1, 1"
"Erotomania, Polycystic Kidney Disease","1, 2"
"Erotomania, Hip Dysplasia","1, 3"
"Erotomania, Campylobacteriosis","1, 0"
"Erotomania, Schizophrenia","1, 1"
"Erotomania, Selective Mutism","1, 1"
"Erotomania, Microcephaly","1, 3"
"Erotomania, Psychotic Depression","1, 1"
"Erotomania, Giardiasis","1, 0"
"Erotomania, Mobility Impairment","1, 3"
"Erotomania, Tetanus","1, 0"
"Erotomania, Leptospirosis","1, 0"
"Erotomania, Substance Use Disorder","1, 1"
"Erotomania, Mood Disorder","1, 1"
"Erotomania, Spastic Diplegia","1, 3"
"Erotomania, Amyloidosis","1, 2"
"Erotomania, Paratyphoid Fever","1, 0"
"Erotomania, OCD","1, 1"
"Erotomania, Scoliosis","1, 3"
"Erotomania, Arthrogryposis","1, 3"
"Erotomania, Arthritis","1, 2"
"Erotomania, Claw Hand","1, 3"
"Erotomania, Sleep Disorder","1, 1"
"Erotomania, Polio","1, 3"
"Erotomania, Measles","1, 0"
"Erotomania, Hearing Loss","1, 3"
"Erotomania, Borderline Personality Disorder","1, 1"
"Erotomania, Short Stature","1, 3"
"Erotomania, Delirium","1, 1"
"Erotomania, Chikungunya","1, 0"
"Erotomania, PTSD","1, 1"
"Erotomania, Botulism","1, 0"
"Erotomania, Chickenpox","1, 0"
"Erotomania, Blindness","1, 3"
"Erotomania, Anxiety","1, 1"
"Erotomania, Strep Throat","1, 0"
"Erotomania, Trichotillomania","1, 1"
"Erotomania, ADHD","1, 1"
"Erotomania, Amputation","1, 3"
"Erotomania, Gout","1, 2"
"Erotomania, Zika Virus","1, 0"
"Erotomania, Chronic Kidney Disease","1, 2"
"Erotomania, Paraphilic Disorder","1, 1"
"Erotomania, Paralysis","1, 3"
"Erotomania, Thalassemia","1, 2"
"Erotomania, Torticollis","1, 3"
"Erotomania, Cerebral Palsy","1, 3"
"Erotomania, Listeriosis","1, 0"
"Erotomania, Paranoia","1, 1"
"Erotomania, E. coli Infection","1, 0"
"Erotomania, COPD","1, 2"
"Erotomania, Lupus","1, 2"
"Erotomania, Typhoid Fever","1, 0"
"Erotomania, Whooping Cough","1, 0"
"Erotomania, Hand Deformity","1, 3"
"Erotomania, Chronic Urticaria","1, 2"
"Erotomania, Food Poisoning","1, 0"
"Erotomania, Psychosis","1, 1"
"Erotomania, Myasthenia Gravis","1, 2"
"Erotomania, Peripheral Artery Disease","1, 2"
"Erotomania, Dengue Fever","1, 0"
"Erotomania, Coxa Vara","1, 3"
"Erotomania, Hepatitis C","1, 0"
"Erotomania, Asthma","1, 2"
"Erotomania, COVID-19","1, 0"
"Erotomania, Rheumatic Heart Disease","1, 2"
"Erotomania, Histrionic Personality Disorder","1, 1"
"Erotomania, Hepatitis B","1, 0"
"Erotomania, Thyroid Disease","1, 2"
"Erotomania, Hemiplegia","1, 3"
"Erotomania, Chronic Appendicitis","1, 2"
"Erotomania, Clubfoot","1, 3"
"Erotomania, Speech Impairment","1, 3"
"Erotomania, Fibromyalgia","1, 2"
"Erotomania, Ulcerative Colitis","1, 2"
"Erotomania, Osteogenesis Imperfecta","1, 3"
"Erotomania, Muscle Weakness","1, 3"
"Erotomania, Toxoplasmosis","1, 0"
"Erotomania, Psoriasis","1, 2"
"Erotomania, Narcissistic Personality Disorder","1, 1"
"Erotomania, Phobias","1, 1"
"Erotomania, Chronic Pancreatitis","1, 2"
"Erotomania, Chronic Migraine","1, 2"
"Erotomania, Cystic Fibrosis","1, 2"
"Erotomania, Seasonal Affective Disorder","1, 1"
"Erotomania, Frozen Shoulder","1, 3"
"Erotomania, Bipolar Disorder","1, 1"
"Erotomania, Chronic Fatigue Syndrome","1, 2"
"Erotomania, Quadriplegia","1, 3"
"Erotomania, Mania","1, 1"
"Erotomania, Monoplegia","1, 3"
"Erotomania, Mumps","1, 0"
"Erotomania, Ear Infection","1, 0"
"Erotomania, Diabetes","1, 2"
"Erotomania, Multiple Sclerosis","1, 3"
"Erotomania, Impulse Control Disorder","1, 1"
"Erotomania, Autism Spectrum Disorder","1, 1"
"Erotomania, Hyperactivity Disorder","1, 1"
"Erotomania, Sarcoidosis","1, 2"
"Erotomania, Drop Foot","1, 3"
"Erotomania, Scarlet Fever","1, 0"
"Erotomania, Tuberculosis","1, 0"
"Erotomania, Schizoaffective Disorder","1, 1"
"Erotomania, Common Cold","1, 0"
"Erotomania, Celiac Disease","1, 2"
"Erotomania, Bronchitis","1, 0"
"Erotomania, Emotional Dysregulation","1, 1"
"Erotomania, Chronic Bronchitis","1, 2"
"Erotomania, Postural Deformity","1, 3"
"Erotomania, Eating Disorder","1, 1"
"Leg Length Discrepancy, Ataxia","3, 3"
"Leg Length Discrepancy, Aplastic Anemia","3, 2"
"Leg Length Discrepancy, Kyphosis","3, 3"
"Leg Length Discrepancy, Spinal Cord Injury","3, 3"
"Leg Length Discrepancy, Depression","3, 1"
"Leg Length Discrepancy, Orthopedic Impairment","3, 3"
"Leg Length Discrepancy, Malaria","3, 0"
"Leg Length Discrepancy, Hemophilia","3, 2"
"Leg Length Discrepancy, Neurocognitive Disorder","3, 1"
"Leg Length Discrepancy, Cirrhosis","3, 2"
"Leg Length Discrepancy, Kleptomania","3, 1"
"Leg Length Discrepancy, Graves’ Disease","3, 2"
"Leg Length Discrepancy, Balance Disorder","3, 3"
"Leg Length Discrepancy, Social Anxiety Disorder","3, 1"
"Leg Length Discrepancy, Autoimmune Hepatitis","3, 2"
"Leg Length Discrepancy, Tic Disorders","3, 1"
"Leg Length Discrepancy, Panic Disorder","3, 1"
"Leg Length Discrepancy, Adjustment Disorder","3, 1"
"Leg Length Discrepancy, Hallucination Disorder","3, 1"
"Leg Length Discrepancy, Rabies","3, 0"
"Leg Length Discrepancy, Crohn’s Disease","3, 2"
"Leg Length Discrepancy, Parkinson’s Disease","3, 2"
"Leg Length Discrepancy, Anthrax","3, 0"
"Leg Length Discrepancy, RSV","3, 0"
"Leg Length Discrepancy, Bulimia","3, 1"
"Leg Length Discrepancy, Chronic Sinusitis","3, 2"
"Leg Length Discrepancy, Norovirus","3, 0"
"Leg Length Discrepancy, Spina Bifida","3, 3"
"Leg Length Discrepancy, Paget's Disease","3, 2"
"Leg Length Discrepancy, Barrett’s Esophagus","3, 2"
"Leg Length Discrepancy, Heart Disease","3, 2"
"Leg Length Discrepancy, Limb Girdle Disorder","3, 3"
"Leg Length Discrepancy, Dissociative Identity Disorder","3, 1"
"Leg Length Discrepancy, Yellow Fever","3, 0"
"Leg Length Discrepancy, Sinus Infection","3, 0"
"Leg Length Discrepancy, Influenza","3, 0"
"Leg Length Discrepancy, Hepatitis A","3, 0"
"Leg Length Discrepancy, Sickle Cell Disease","3, 2"
"Leg Length Discrepancy, Visual Impairment","3, 3"
"Leg Length Discrepancy, Hypertension","3, 2"
"Leg Length Discrepancy, Endometriosis","3, 2"
"Leg Length Discrepancy, Bacterial Meningitis","3, 0"
"Leg Length Discrepancy, Catatonia","3, 1"
"Leg Length Discrepancy, Muscular Dystrophy","3, 3"
"Leg Length Discrepancy, Dwarfism","3, 3"
"Leg Length Discrepancy, Pathological Gambling","3, 1"
"Leg Length Discrepancy, Traumatic Brain Injury","3, 3"
"Leg Length Discrepancy, Somatic Symptom Disorder","3, 1"
"Leg Length Discrepancy, Anorexia","3, 1"
"Leg Length Discrepancy, Polycystic Kidney Disease","3, 2"
"Leg Length Discrepancy, Hip Dysplasia","3, 3"
"Leg Length Discrepancy, Campylobacteriosis","3, 0"
"Leg Length Discrepancy, Schizophrenia","3, 1"
"Leg Length Discrepancy, Selective Mutism","3, 1"
"Leg Length Discrepancy, Microcephaly","3, 3"
"Leg Length Discrepancy, Psychotic Depression","3, 1"
"Leg Length Discrepancy, Giardiasis","3, 0"
"Leg Length Discrepancy, Mobility Impairment","3, 3"
"Leg Length Discrepancy, Tetanus","3, 0"
"Leg Length Discrepancy, Leptospirosis","3, 0"
"Leg Length Discrepancy, Substance Use Disorder","3, 1"
"Leg Length Discrepancy, Mood Disorder","3, 1"
"Leg Length Discrepancy, Spastic Diplegia","3, 3"
"Leg Length Discrepancy, Amyloidosis","3, 2"
"Leg Length Discrepancy, Paratyphoid Fever","3, 0"
"Leg Length Discrepancy, OCD","3, 1"
"Leg Length Discrepancy, Scoliosis","3, 3"
"Leg Length Discrepancy, Arthrogryposis","3, 3"
"Leg Length Discrepancy, Arthritis","3, 2"
"Leg Length Discrepancy, Claw Hand","3, 3"
"Leg Length Discrepancy, Sleep Disorder","3, 1"
"Leg Length Discrepancy, Polio","3, 3"
"Leg Length Discrepancy, Measles","3, 0"
"Leg Length Discrepancy, Hearing Loss","3, 3"
"Leg Length Discrepancy, Borderline Personality Disorder","3, 1"
"Leg Length Discrepancy, Short Stature","3, 3"
"Leg Length Discrepancy, Delirium","3, 1"
"Leg Length Discrepancy, Chikungunya","3, 0"
"Leg Length Discrepancy, PTSD","3, 1"
"Leg Length Discrepancy, Botulism","3, 0"
"Leg Length Discrepancy, Chickenpox","3, 0"
"Leg Length Discrepancy, Blindness","3, 3"
"Leg Length Discrepancy, Anxiety","3, 1"
"Leg Length Discrepancy, Strep Throat","3, 0"
"Leg Length Discrepancy, Trichotillomania","3, 1"
"Leg Length Discrepancy, ADHD","3, 1"
"Leg Length Discrepancy, Amputation","3, 3"
"Leg Length Discrepancy, Gout","3, 2"
"Leg Length Discrepancy, Zika Virus","3, 0"
"Leg Length Discrepancy, Chronic Kidney Disease","3, 2"
"Leg Length Discrepancy, Paraphilic Disorder","3, 1"
"Leg Length Discrepancy, Paralysis","3, 3"
"Leg Length Discrepancy, Thalassemia","3, 2"
"Leg Length Discrepancy, Torticollis","3, 3"
"Leg Length Discrepancy, Cerebral Palsy","3, 3"
"Leg Length Discrepancy, Listeriosis","3, 0"
"Leg Length Discrepancy, Paranoia","3, 1"
"Leg Length Discrepancy, E. coli Infection","3, 0"
"Leg Length Discrepancy, COPD","3, 2"
"Leg Length Discrepancy, Lupus","3, 2"
"Leg Length Discrepancy, Typhoid Fever","3, 0"
"Leg Length Discrepancy, Whooping Cough","3, 0"
"Leg Length Discrepancy, Hand Deformity","3, 3"
"Leg Length Discrepancy, Chronic Urticaria","3, 2"
"Leg Length Discrepancy, Food Poisoning","3, 0"
"Leg Length Discrepancy, Psychosis","3, 1"
"Leg Length Discrepancy, Myasthenia Gravis","3, 2"
"Leg Length Discrepancy, Peripheral Artery Disease","3, 2"
"Leg Length Discrepancy, Dengue Fever","3, 0"
"Leg Length Discrepancy, Coxa Vara","3, 3"
"Leg Length Discrepancy, Hepatitis C","3, 0"
"Leg Length Discrepancy, Asthma","3, 2"
"Leg Length Discrepancy, COVID-19","3, 0"
"Leg Length Discrepancy, Rheumatic Heart Disease","3, 2"
"Leg Length Discrepancy, Histrionic Personality Disorder","3, 1"
"Leg Length Discrepancy, Hepatitis B","3, 0"
"Leg Length Discrepancy, Thyroid Disease","3, 2"
"Leg Length Discrepancy, Hemiplegia","3, 3"
"Leg Length Discrepancy, Chronic Appendicitis","3, 2"
"Leg Length Discrepancy, Clubfoot","3, 3"
"Leg Length Discrepancy, Speech Impairment","3, 3"
"Leg Length Discrepancy, Fibromyalgia","3, 2"
"Leg Length Discrepancy, Ulcerative Colitis","3, 2"
"Leg Length Discrepancy, Osteogenesis Imperfecta","3, 3"
"Leg Length Discrepancy, Muscle Weakness","3, 3"
"Leg Length Discrepancy, Toxoplasmosis","3, 0"
"Leg Length Discrepancy, Psoriasis","3, 2"
"Leg Length Discrepancy, Narcissistic Personality Disorder","3, 1"
"Leg Length Discrepancy, Phobias","3, 1"
"Leg Length Discrepancy, Chronic Pancreatitis","3, 2"
"Leg Length Discrepancy, Chronic Migraine","3, 2"
"Leg Length Discrepancy, Cystic Fibrosis","3, 2"
"Leg Length Discrepancy, Seasonal Affective Disorder","3, 1"
"Leg Length Discrepancy, Frozen Shoulder","3, 3"
"Leg Length Discrepancy, Bipolar Disorder","3, 1"
